Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
MH CET Law (5-Year LLB),CAT_05,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,Mandatory for admission to 5-year integrated law programs in Maharashtra state colleges.
MAH-B.BCA/BBA/BMS/BBM CET,CAT_05,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,Newly centralized state exam for undergraduate management and computer application degrees.
MAH-B.Design CET,CAT_05,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,Standardized entrance exam for professional undergraduate design programs in the state.
MAH-B.HMCT CET,CAT_05,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",Class 12,cetcell.mahacet.org,Active,State test for Bachelor of Hotel Management and Catering Technology.
AP LAWCET (Andhra Pradesh Law CET),CAT_05,State-UT,Andhra Pradesh,Admission,APSCHE,Class 12,cets.apsche.ap.gov.in,Active,Official state examination for 3-Year and 5-Year LLB degree programs.
TS LAWCET (Telangana State Law CET),CAT_05,State-UT,Telangana,Admission,TSCHE,Class 12,lawcet.tsche.ac.in,Active,Official state examination for 3-Year and 5-Year LLB degree programs.
KLEE (Kerala Law Entrance Exam),CAT_05,State-UT,Kerala,Admission,"Commissioner for Entrance Examinations (CEE), Kerala",Class 12,cee.kerala.gov.in,Active,Conducted separately for 3-Year LLB and 5-Year Integrated LLB admissions in Kerala.
IPMAT (IIM Indore),CAT_05,Institute,All India,Admission,IIM Indore,Class 12,iimidr.ac.in,Active,The first and most prominent IIM entrance test specifically for the 5-Year IPM integrated degree.
IPMAT (IIM Rohtak),CAT_05,Institute,All India,Admission,IIM Rohtak,Class 12,iimrohtak.ac.in,Active,Separate entrance test exclusively for IIM Rohtak’s IPM program.
SET (Symbiosis Entrance Test),CAT_05,Institute,All India,Admission,Symbiosis International (Deemed University),Class 12,set-test.org,Active,"Primary exam for BBA, BCA, BA Mass Comm, and Liberal Arts programs across Symbiosis institutes."
SLAT (Symbiosis Law Admission Test),CAT_05,Institute,All India,Admission,Symbiosis International (Deemed University),Class 12,set-test.org,Active,Dedicated entrance strictly for admission to Symbiosis Law Schools (SLS).
SEED (Symbiosis Entrance Exam for Design),CAT_05,Institute,All India,Admission,Symbiosis International (Deemed University),Class 12,set-test.org,Active,Dedicated test for B.Des programs offered at SID Pune.
NMIMS NPAT (National Test for Programs After Twelfth),CAT_05,Institute,All India,Admission,SVKM's NMIMS,Class 12,npat.in,Active,"Gateway for BBA, B.Com (Hons), B.Sc Finance, and Economics programs at NMIMS."
NMIMS LAT / DAT,CAT_05,Institute,All India,Admission,SVKM's NMIMS,Class 12,nmims.edu,Active,University-level Law Aptitude Test (LAT) and Design Aptitude Test (DAT).
CUSAT CAT (Law/Arts/Comm),CAT_05,Institute,All India,Admission,Cochin University of Science and Technology,Class 12,admissions.cusat.ac.in,Active,Test conducted for integrated BA/B.Com LLB and BBA programs.
PU UG Law / PU CET (UG),CAT_05,State-UT,Chandigarh / Punjab,Admission,Panjab University,Class 12,uglaw.puchd.ac.in,Active,Extremely popular exam for 5-Year Integrated BA/B.Com LLB at Panjab University and affiliated regional centers.
RULET (Rajasthan University Law Entrance Test),CAT_05,State-UT,Rajasthan,Admission,University of Rajasthan (UNIRAJ),Class 12,uniraj.ac.in,Active,Admission gateway for the 5-year BA LLB (Hons.) program in the state university system.
IPU CET (BBA / HM / B.Com),CAT_05,Institute,Delhi,Admission,Guru Gobind Singh Indraprastha University (GGSIPU),Class 12,ipu.ac.in,Active,Used heavily for undergraduate management and commerce seats in Delhi. (Note: IPU uses CLAT for Law).
AMU Entrance Test (BA / B.Com / BA LLB),CAT_05,Institute,Uttar Pradesh,Admission,Aligarh Muslim University (AMU),Class 12,[suspicious link removed],Active,Standalone university exam; AMU uses CUET UG only for select peripheral courses.
JMI Entrance Exam (BA / BBA / BA LLB),CAT_05,Institute,Delhi,Admission,Jamia Millia Islamia (JMI),Class 12,jmicoe.in,,
