Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
MH SET,CAT_11,State-UT,Maharashtra / Goa,Eligibility,Savitribai Phule Pune University (SPPU),PG,setexam.unipune.ac.in,Active,Nodal agency conducting SET jointly for Maharashtra and Goa.
MAH-B.Ed CET / M.Ed CET,CAT_11,State-UT,Maharashtra,Admission,"State CET Cell, Maharashtra",UG / PG,cetcell.mahacet.org,Active,Mandatory for B.Ed / M.Ed admission across the state. Includes special English Language Content Test (ELCT).
OTET / OSSTET,CAT_11,State-UT,Odisha,Eligibility,BSE Odisha,Class 12/UG/PG,bseodisha.ac.in,Active,OTET is for Primary; OSSTET is specifically for Secondary School teachers.
PSTET,CAT_11,State-UT,Punjab,Eligibility,Punjab School Education Board (PSEB),Class 12 / UG,pstet.pseb.ac.in,Active,State-level teacher eligibility test.
REET (Rajasthan Eligibility Exam),CAT_11,State-UT,Rajasthan,Eligibility,Board of Secondary Education Rajasthan,Class 12 / UG,rajeduboard.rajasthan.gov.in,Active,Dual-purpose: Acts as an eligibility test and a direct recruitment tier for grade III teachers.
Rajasthan SET,CAT_11,State-UT,Rajasthan,Eligibility,GGTU / RPSC,PG,ggtu.ac.in,Active,Re-initiated after a long gap; determines university Assistant Professor eligibility.
Rajasthan PTET,CAT_11,State-UT,Rajasthan,Admission,VMOU Kota (Rotational Nodal),Class 12 / UG,vmou.ac.in,Active,Pre-Teacher Education Test for 2-year B.Ed and 4-year integrated BA/B.Sc B.Ed.
Sikkim TET (STET),CAT_11,State-UT,Sikkim,Eligibility,"Education Department, Sikkim",Class 12 / UG,sikkimhrdd.org,Active,For local primary and graduate teacher eligibility.
TNTET,CAT_11,State-UT,Tamil Nadu,Eligibility,Teachers Recruitment Board (TRB) TN,Class 12 / UG,trb.tn.gov.in,Active,State-level teacher eligibility.
TNSET,CAT_11,State-UT,Tamil Nadu,Eligibility,Manonmaniam Sundaranar University (Rotational),PG,msuniv.ac.in,Active,Evaluates PG candidates for Assistant Professor roles.
TS TET,CAT_11,State-UT,Telangana,Eligibility,"Dept. of School Education, Telangana",Class 12 / UG,tgtet.aptonline.in,Active,Conducted entirely online via CBT mode.
TS SET,CAT_11,State-UT,Telangana,Eligibility,Osmania University,PG,telanganaset.org,Active,State exam for assistant professor eligibility.
TS EdCET,CAT_11,State-UT,Telangana,Admission,Mahatma Gandhi University (for TGCHE),UG,edcet.tsche.ac.in,Active,Centralized state B.Ed admission test.
Tripura TET (T-TET),CAT_11,State-UT,Tripura,Eligibility,"Teachers' Recruitment Board, Tripura (TRBT)",Class 12 / UG,trb.tripura.gov.in,Active,State TET for Tripura.
UPTET,CAT_11,State-UT,Uttar Pradesh,Eligibility,UP Education Service Selection Commission (UPESSC),Class 12 / UG,updeled.gov.in,Active,One of the largest TET exams in India by candidate volume.
UP B.Ed JEE,CAT_11,State-UT,Uttar Pradesh,Admission,Bundelkhand University (Rotational),UG / PG,bujhansi.ac.in,Active,Joint entrance exam mandatory for UP B.Ed state and private colleges.
UTET,CAT_11,State-UT,Uttarakhand,Eligibility,Uttarakhand Board of School Education (UBSE),Class 12 / UG,ukutet.com,Active,State-level teacher eligibility test.
WB TET (Primary),CAT_11,State-UT,West Bengal,Eligibility,West Bengal Board of Primary Education (WBBPE),Class 12 / UG,wbbpe.org,Active,Specifically for Classes 1 to 5.
WBSSC SLST,CAT_11,State-UT,West Bengal,Recruitment,WB Central School Service Commission,UG / PG,westbengalssc.com,Active,State Level Selection Test for secondary and higher secondary teachers.
WB SET,CAT_11,State-UT,West Bengal,Eligibility,West Bengal College Service Commission,PG,wbcsconline.in,Active,Test for eligibility as an Assistant Professor in WB colleges.
IGNOU B.Ed Entrance Test,CAT_11,Institute,All India,Admission,IGNOU,UG,ignou.ac.in,,
