Exam Name,Category ID,Level,State/UT,Purpose,Conducting Body,Eligibility Level,Official Website,Current Status,Notes
"KCET (Veterinary, Farm Science & Pharmacy)",CAT_04,State-UT,Karnataka,Admission,Karnataka Examinations Authority (KEA),Class 12,cetonline.karnataka.gov.in/kea/,Active,"Official state test for B.Sc (Agri), B.V.Sc & A.H, and B.Pharm admissions in Karnataka."
KEAM (Pharmacy & Allied),CAT_04,State-UT,Kerala,Admission,"Commissioner for Entrance Examinations (CEE), Kerala",Class 12,cee.kerala.gov.in,Active,Paper 1 (Physics/Chemistry) scores are used for B.Pharm merit lists; Medical ranks strictly use NEET.
GUJCET (Pharmacy),CAT_04,State-UT,Gujarat,Admission,GSEB,Class 12,gseb.org,Active,Conducted for state quota admissions to Degree and Diploma Pharmacy courses in Gujarat.
WBJEE JENPAS UG,CAT_04,State-UT,West Bengal,Admission,WBJEEB,Class 12,wbjeeb.nic.in,Active,"Official exam for B.Sc Nursing, BPT, BMLT, and other allied health science bachelors."
SMFWBEE (Paramedical Diploma),CAT_04,State-UT,West Bengal,Admission,State Medical Faculty of West Bengal,Class 12,smfwb.in,Active,Conducts centralized test for Paramedical diploma courses across WB government and private colleges.
ABVMU UP CNET (Common Nursing Entrance),CAT_04,State-UT,Uttar Pradesh,Admission,Atal Bihari Vajpayee Medical University (ABVMU),Class 12,abvmuup.edu.in,Active,"Integrated exam that replaced individual B.Sc Nursing exams by KGMU, RML, and UPUMS."
ABVMU UP CPET (Common Paramedical Test),CAT_04,State-UT,Uttar Pradesh,Admission,ABVMU,Class 12,abvmuup.edu.in,Active,Centralized entrance test for all UP paramedical bachelors programs.
RUHS B.Sc Nursing Entrance Exam,CAT_04,State-UT,Rajasthan,Admission,Rajasthan University of Health Sciences (RUHS),Class 12,[suspicious link removed],Active,Single gateway for B.Sc Nursing in Rajasthan government and private colleges.
RUHS Paramedical & Pharmacy Entrance,CAT_04,State-UT,Rajasthan,Admission,RUHS,Class 12,[suspicious link removed],Active,"Conducted separately for B.Pharm, D.Pharm, BPT, BRT, and other paramedical degrees."
BCECE (Agriculture & Pharmacy Group),CAT_04,State-UT,Bihar,Admission,BCECE Board,Class 12,bceceboard.bihar.gov.in,Active,"Conducted for B.Pharm, B.Sc Nursing, and Agriculture programs for state-quota seats."
DCECE (PM/PMM Group),CAT_04,State-UT,Bihar,Admission,BCECE Board,Class 10 / Class 12,bceceboard.bihar.gov.in,Active,PM corresponds to Intermediate-level Paramedical; PMM corresponds to Matric-level Paramedical Dental.
CG B.Sc Nursing Entrance Exam,CAT_04,State-UT,Chhattisgarh,Admission,CG Vyapam (CPEB),Class 12,vyapam.cgstate.gov.in,Active,Official state exam for entry into nursing bachelors degrees.
CG PPHT & CG PAT / PVPT,CAT_04,State-UT,Chhattisgarh,Admission,CG Vyapam (CPEB),Class 12,vyapam.cgstate.gov.in,Active,Pre-Pharmacy Test (PPHT) and Pre-Agriculture/Pre-Veterinary Test (PAT/PVPT).
MP PNST (Pre-Nursing Selection Test),CAT_04,State-UT,Madhya Pradesh,Admission,MP Employees Selection Board (ESB),Class 12,esb.mp.gov.in,Active,Female-only exam strictly for B.Sc Nursing seats in MP government colleges.
MP ADDET & PVFT,CAT_04,State-UT,Madhya Pradesh,Admission,MP ESB,Class 12,esb.mp.gov.in,Active,Animal Husbandry/Dairy Diploma (ADDET) and Pre-Veterinary/Fishery Test (PVFT).
JCECEB Nursing Entrance Exam,CAT_04,State-UT,Jharkhand,Admission,JCECEB,Class 12,jceceb.jharkhand.gov.in,Active,Conducted for Basic and Post-Basic B.Sc Nursing.
JCECEB Paramedical Entrance Exam,CAT_04,State-UT,Jharkhand,Admission,JCECEB,Class 12,jceceb.jharkhand.gov.in,Active,For admission into state Paramedical degree and diploma programs.
OJEE (B.Pharm),CAT_04,State-UT,Odisha,Admission,OJEE Cell,Class 12,ojee.nic.in,Active,The primary test for B.Pharm in Odisha; state medical strictly relies on NEET.
SSUHS CEE (B.Sc Nursing & Paramedical),CAT_04,State-UT,Assam,Admission,Srimanta Sankaradeva University of Health Sciences,Class 12,ssuhs.in,Active,Sole official gateway for Nursing and Paramedical courses in Assam.
BFUHS PPMET,CAT_04,State-UT,Punjab,Admission,Baba Farid University of Health Sciences,Class 12,bfuhs.ac.in,Active,Punjab Pre-Medical Entrance Test specifically structured for B.Sc Nursing.
AMRU B.Sc Nursing & Paramedical Entrance,CAT_04,State-UT,Himachal Pradesh,Admission,Atal Medical & Research University (AMRU),Class 12,amruhp.ac.in,Active,Centralized state test for nursing and paramedical in Himachal Pradesh.
HNBUMU Nursing & Paramedical Entrance,CAT_04,State-UT,Uttarakhand,Admission,Hemwati Nandan Bahuguna Uttarakhand Medical Education University,Class 12,hnbumu.ac.in,Active,State-level entrance for UG nursing and allied health.
JKBOPEE Nursing / Paramedical Entrance,CAT_04,State-UT,Jammu & Kashmir,Admission,J&K BOPEE,Class 12,jkbopee.gov.in,Active,Official test for admission to state nursing and paramedical institutes.
TBJEE (Group C / PCB),CAT_04,State-UT,Tripura,Admission,TBJEE,Class 12,tbjee.nic.in,Active,"Group C entrance for Veterinary, Agriculture, and Paramedical courses."
Pt. B.D. Sharma UHSR Nursing / Paramedical CET,CAT_04,State-UT,Haryana,Admission,Pt. B.D. Sharma University of Health Sciences,Class 12,uhsr.ac.in,Active,"State test for B.Sc Nursing, BPT, and Paramedical courses."
CMC Vellore UG Entrance Exam,CAT_04,Institute,All India,Admission,"Christian Medical College, Vellore",Class 12,admissions.cmcvellore.ac.in,Active,"MBBS strictly relies on NEET, but CMC conducts its own CBT for Nursing and Allied Health Sciences."
CMC Ludhiana B.Sc Nursing Entrance,CAT_04,Institute,All India,Admission,CMC Ludhiana,Class 12,cmcludhiana.in,Active,Separate CBT specifically for nursing at CMC Ludhiana.
KGMU B.Sc Nursing,CAT_04,Institute,Uttar Pradesh,Admission,KGMU,Class 12,kgmu.org,Merged,Officially absorbed into the centralized ABVMU UP CNET exam.
JIPMER B.Sc Nursing & Paramedical,CAT_04,Institute,All India,Admission,JIPMER,Class 12,jipmer.edu.in,Merged,JIPMER completely scrapped its own exam; now utilizes NEET UG scores.
